""	"Fgutabs"	"k_a"	"k_e"	"V_dist"
1	0.7727	1.3206	0.2829	36.196
1	0.7767	1.4394	0.2885	34.996
1	0.7807	1.1994	0.2941	33.796
1	0.7847	0.9594	0.2997	32.596
1	0.7887	0.7194	0.2947	31.396
1	0.7927	0.5206	0.2891	30.196
1	0.7967	0.7606	0.2835	28.996
1	0.8007	1.0006	0.2779	27.796
1	0.8047	1.2406	0.2723	26.596
1	0.8087	1.4806	0.2667	25.396
1	0.8127	1.2794	0.2611	24.196
1	0.8167	1.0394	0.2555	22.996
1	0.8207	0.7994	0.2499	21.796
1	0.8247	0.5594	0.2443	20.596
1	0.8287	0.6806	0.2387	20.604
1	0.8327	0.9206	0.2331	21.804
1	0.8367	1.1606	0.2275	23.004
1	0.8407	1.4006	0.2219	24.204
1	0.8447	1.3594	0.2163	25.404
1	0.8487	1.1194	0.2107	26.604
1	0.8527	0.8794	0.2051	27.804
1	0.8567	0.6394	0.1995	29.004
1	0.8607	0.6006	0.1939	30.204
1	0.8647	0.8406	0.1883	31.404
1	0.8687	1.0806	0.1827	32.604
1	0.8727	1.3206	0.1771	33.804
1	0.8767	1.4394	0.1715	35.004
1	0.8807	1.1994	0.1659	36.204
1	0.8847	0.9594	0.1603	37.404
1	0.8887	0.7194	0.1547	38.604
1	0.8927	0.5206	0.1491	39.804
1	0.8967	0.7606	0.1435	41.004
1	0.9007	1.0006	0.1379	42.204
1	0.9047	1.2406	0.1323	43.404
1	0.9087	1.4806	0.1267	44.604
1	0.9127	1.2794	0.1211	45.804
1	0.9167	1.0394	0.1155	47.004
1	0.9207	0.7994	0.1099	48.204
1	0.9247	0.5594	0.1043	49.404
1	0.9287	0.6806	0.0987	50.604
1	0.9327	0.9206	0.0931	51.804
1	0.9367	1.1606	0.0875	53.004
1	0.9407	1.4006	0.0819	54.204
1	0.9447	1.3594	0.0763	55.404
1	0.9487	1.1194	0.0707	56.604
1	0.9527	0.8794	0.0651	57.804
1	0.9567	0.6394	0.0595	59.004
1	0.9607	0.6006	0.0539	59.796
1	0.9647	0.8406	0.0483	58.596
1	0.9687	1.0806	0.0427	57.396
1	0.9727	1.3206	0.0371	56.196
1	0.9767	1.4394	0.0315	54.996
1	0.9807	1.1994	0.0259	53.796
1	0.9847	0.9594	0.0203	52.596
1	0.9887	0.7194	0.0253	51.396
1	0.9927	0.5206	0.0309	50.196
1	0.9967	0.7606	0.0365	48.996
1	0.9993	1.0006	0.0421	47.796
1	0.9953	1.2406	0.0477	46.596
1	0.9913	1.4806	0.0533	45.396
1	0.9873	1.2794	0.0589	44.196
1	0.9833	1.0394	0.0645	42.996
1	0.9793	0.7994	0.0701	41.796
1	0.9753	0.5594	0.0757	40.596
1	0.9713	0.6806	0.0813	39.396
1	0.9673	0.9206	0.0869	38.196
1	0.9633	1.1606	0.0925	36.996
1	0.9593	1.4006	0.0981	35.796
1	0.9553	1.3594	0.1037	34.596
1	0.9513	1.1194	0.1093	33.396
1	0.9473	0.8794	0.1149	32.196
1	0.9433	0.6394	0.1205	30.996
1	0.9393	0.6006	0.1261	29.796
1	0.9353	0.8406	0.1317	28.596
1	0.9313	1.0806	0.1373	27.396
1	0.9273	1.3206	0.1429	26.196
1	0.9233	1.4394	0.1485	24.996
1	0.9193	1.1994	0.1541	23.796
1	0.9153	0.9594	0.1597	22.596
1	0.9113	0.7194	0.1653	21.396
1	0.9073	0.5206	0.1709	20.196
1	0.9033	0.7606	0.1765	21.004
1	0.8993	1.0006	0.1821	22.204
1	0.8953	1.2406	0.1877	23.404
1	0.8913	1.4806	0.1933	24.604
1	0.8873	1.2794	0.1989	25.804
1	0.8833	1.0394	0.2045	27.004
1	0.8793	0.7994	0.2101	28.204
1	0.8753	0.5594	0.2157	29.404
1	0.8713	0.6806	0.2213	30.604
1	0.8673	0.9206	0.2269	31.804
1	0.8633	1.1606	0.2325	33.004
1	0.8593	1.4006	0.2381	34.204
1	0.8553	1.3594	0.2437	35.404
1	0.8513	1.1194	0.2493	36.604
1	0.8473	0.8794	0.2549	37.804
1	0.8433	0.6394	0.2605	39.004
1	0.8393	0.6006	0.2661	40.204
1	0.8353	0.8406	0.2717	41.404
1	0.8313	1.0806	0.2773	42.604
1	0.8273	1.3206	0.2829	43.804
1	0.8233	1.4394	0.2885	45.004
1	0.8193	1.1994	0.2941	46.204
1	0.8153	0.9594	0.2997	47.404
1	0.8113	0.7194	0.2947	48.604
1	0.8073	0.5206	0.2891	49.804
1	0.8033	0.7606	0.2835	51.004
1	0.7993	1.0006	0.2779	52.204
1	0.7953	1.2406	0.2723	53.404
1	0.7913	1.4806	0.2667	54.604
1	0.7873	1.2794	0.2611	55.804
