""	"Fgutabs"	"k_a"	"k_e"	"V_dist"
1	0.847	1.4703	0.026	25.2867
1	0.851	1.2303	0.0316	26.4867
1	0.855	0.9903	0.0372	27.6867
1	0.859	0.7503	0.0428	28.8867
1	0.863	0.5103	0.0484	30.0867
1	0.867	0.7297	0.054	31.2867
1	0.871	0.9697	0.0596	32.4867
1	0.875	1.2097	0.0652	33.6867
1	0.879	1.4497	0.0708	34.8867
1	0.883	1.3103	0.0764	36.0867
1	0.887	1.0703	0.082	37.2867
1	0.891	0.8303	0.0876	38.4867
1	0.895	0.5903	0.0932	39.6867
1	0.899	0.6497	0.0988	40.8867
1	0.903	0.8897	0.1044	42.0867
1	0.907	1.1297	0.11	43.2867
1	0.911	1.3697	0.1156	44.4867
1	0.915	1.3903	0.1212	45.6867
1	0.919	1.1503	0.1268	46.8867
1	0.923	0.9103	0.1324	48.0867
1	0.927	0.6703	0.138	49.2867
1	0.931	0.5697	0.1436	50.4867
1	0.935	0.8097	0.1492	51.6867
1	0.939	1.0497	0.1548	52.8867
1	0.943	1.2897	0.1604	54.0867
1	0.947	1.4703	0.166	55.2867
1	0.951	1.2303	0.1716	56.4867
1	0.955	0.9903	0.1772	57.6867
1	0.959	0.7503	0.1828	58.8867
1	0.963	0.5103	0.1884	59.9133
1	0.967	0.7297	0.194	58.7133
1	0.971	0.9697	0.1996	57.5133
1	0.975	1.2097	0.2052	56.3133
1	0.979	1.4497	0.2108	55.1133
1	0.983	1.3103	0.2164	53.9133
1	0.987	1.0703	0.222	52.7133
1	0.991	0.8303	0.2276	51.5133
1	0.995	0.5903	0.2332	50.3133
1	0.999	0.6497	0.2388	49.1133
1	0.997	0.8897	0.2444	47.9133
1	0.993	1.1297	0.25	46.7133
1	0.989	1.3697	0.2556	45.5133
1	0.985	1.3903	0.2612	44.3133
1	0.981	1.1503	0.2668	43.1133
1	0.977	0.9103	0.2724	41.9133
1	0.973	0.6703	0.278	40.7133
1	0.969	0.5697	0.2836	39.5133
1	0.965	0.8097	0.2892	38.3133
1	0.961	1.0497	0.2948	37.1133
1	0.957	1.2897	0.2996	35.9133
1	0.953	1.4703	0.294	34.7133
1	0.949	1.2303	0.2884	33.5133
1	0.945	0.9903	0.2828	32.3133
1	0.941	0.7503	0.2772	31.1133
1	0.937	0.5103	0.2716	29.9133
1	0.933	0.7297	0.266	28.7133
1	0.929	0.9697	0.2604	27.5133
1	0.925	1.2097	0.2548	26.3133
1	0.921	1.4497	0.2492	25.1133
1	0.917	1.3103	0.2436	23.9133
1	0.913	1.0703	0.238	22.7133
1	0.909	0.8303	0.2324	21.5133
1	0.905	0.5903	0.2268	20.3133
1	0.901	0.6497	0.2212	20.8867
1	0.897	0.8897	0.2156	22.0867
1	0.893	1.1297	0.21	23.2867
1	0.889	1.3697	0.2044	24.4867
1	0.885	1.3903	0.1988	25.6867
1	0.881	1.1503	0.1932	26.8867
1	0.877	0.9103	0.1876	28.0867
1	0.873	0.6703	0.182	29.2867
1	0.869	0.5697	0.1764	30.4867
1	0.865	0.8097	0.1708	31.6867
1	0.861	1.0497	0.1652	32.8867
1	0.857	1.2897	0.1596	34.0867
1	0.853	1.4703	0.154	35.2867
1	0.849	1.2303	0.1484	36.4867
1	0.845	0.9903	0.1428	37.6867
1	0.841	0.7503	0.1372	38.8867
1	0.837	0.5103	0.1316	40.0867
1	0.833	0.7297	0.126	41.2867
1	0.829	0.9697	0.1204	42.4867
1	0.825	1.2097	0.1148	43.6867
1	0.821	1.4497	0.1092	44.8867
1	0.7648	1.0444	0.0714	29.4046
1	0.7688	1.0644	0.1386	28.2046
1	0.7728	1.0844	0.2058	27.0046
1	0.7768	1.1044	0.273	25.8046
1	0.7808	1.1244	0.2598	24.6046
1	0.7848	1.1444	0.1926	23.4046
1	0.7888	1.1644	0.1254	22.2046
1	0.7928	1.1844	0.0582	21.0046
1	0.7968	1.2044	0.049	20.1954
1	0.8008	1.2244	0.1162	21.3954
1	0.8048	1.2444	0.1834	22.5954
1	0.8088	1.2644	0.2506	23.7954
1	0.8128	1.2844	0.2822	24.9954
1	0.8168	1.3044	0.215	26.1954
1	0.8208	1.3244	0.1478	27.3954
1	0.8248	1.3444	0.0806	28.5954
1	0.8288	1.3644	0.0266	29.7954
1	0.8328	1.3844	0.0938	30.9954
1	0.8368	1.4044	0.161	32.1954
1	0.8408	1.4244	0.2282	33.3954
1	0.8448	1.4444	0.2954	34.5954
1	0.8488	1.4644	0.2374	35.7954
1	0.8528	1.4844	0.1702	36.9954
1	0.8568	1.4956	0.103	38.1954
1	0.8608	1.4756	0.0358	39.3954
1	0.8648	1.4556	0.0714	40.5954
1	0.8688	1.4356	0.1386	41.7954
1	0.8728	1.4156	0.2058	42.9954
1	0.8768	1.3956	0.273	44.1954
1	0.8808	1.3756	0.2598	45.3954
1	0.8848	1.3556	0.1926	46.5954
1	0.8888	1.3356	0.1254	47.7954
1	0.8928	1.3156	0.0582	48.9954
1	0.8968	1.2956	0.049	50.1954
1	0.9008	1.2756	0.1162	51.3954
1	0.9048	1.2556	0.1834	52.5954
1	0.9088	1.2356	0.2506	53.7954
1	0.9128	1.2156	0.2822	54.9954
1	0.9168	1.1956	0.215	56.1954
1	0.9208	1.1756	0.1478	57.3954
1	0.9248	1.1556	0.0806	58.5954
1	0.9288	1.1356	0.0266	59.7954
1	0.9328	1.1156	0.0938	59.0046
1	0.9368	1.0956	0.161	57.8046
1	0.9408	1.0756	0.2282	56.6046
1	0.9448	1.0556	0.2954	55.4046
1	0.9488	1.0356	0.2374	54.2046
1	0.9528	1.0156	0.1702	53.0046
1	0.9568	0.9956	0.103	51.8046
1	0.9608	0.9756	0.0358	50.6046
1	0.9648	0.9556	0.0714	49.4046
1	0.9688	0.9356	0.1386	48.2046
1	0.9728	0.9156	0.2058	47.0046
1	0.9768	0.8956	0.273	45.8046
1	0.9808	0.8756	0.2598	44.6046
1	0.9848	0.8556	0.1926	43.4046
1	0.9888	0.8356	0.1254	42.2046
1	0.9928	0.8156	0.0582	41.0046
1	0.9968	0.7956	0.049	39.8046
1	0.9992	0.7756	0.1162	38.6046
1	0.9952	0.7556	0.1834	37.4046
1	0.9912	0.7356	0.2506	36.2046
1	0.9872	0.7156	0.2822	35.0046
1	0.9832	0.6956	0.215	33.8046
1	0.9792	0.6756	0.1478	32.6046
1	0.9752	0.6556	0.0806	31.4046
1	0.9712	0.6356	0.0266	30.2046
1	0.9672	0.6156	0.0938	29.0046
1	0.9632	0.5956	0.161	27.8046
1	0.9592	0.5756	0.2282	26.6046
1	0.9552	0.5556	0.2954	25.4046
1	0.9512	0.5356	0.2374	24.2046
1	0.9472	0.5156	0.1702	23.0046
1	0.9432	0.5044	0.103	21.8046
1	0.9392	0.5244	0.0358	20.6046
1	0.9352	0.5444	0.0714	20.5954
1	0.9312	0.5644	0.1386	21.7954
1	0.9272	0.5844	0.2058	22.9954
1	0.9232	0.6044	0.273	24.1954
1	0.9192	0.6244	0.2598	25.3954
1	0.9152	0.6444	0.1926	26.5954
1	0.9112	0.6644	0.1254	27.7954
1	0.9072	0.6844	0.0582	28.9954
1	0.9032	0.7044	0.049	30.1954
1	0.8992	0.7244	0.1162	31.3954
1	0.8952	0.7444	0.1834	32.5954
1	0.8912	0.7644	0.2506	33.7954
1	0.8872	0.7844	0.2822	34.9954
1	0.8832	0.8044	0.215	36.1954
1	0.8792	0.8244	0.1478	37.3954
1	0.8752	0.8444	0.0806	38.5954
1	0.8712	0.8644	0.0266	39.7954
1	0.8672	0.8844	0.0938	40.9954
1	0.8632	0.9044	0.161	42.1954
1	0.8592	0.9244	0.2282	43.3954
1	0.8552	0.9444	0.2954	44.5954
1	0.8512	0.9644	0.2374	45.7954
1	0.8472	0.9844	0.1702	46.9954
1	0.8432	1.0044	0.103	48.1954
1	0.8392	1.0244	0.0358	49.3954
1	0.8352	1.0444	0.0714	50.5954
1	0.8312	1.0644	0.1386	51.7954
1	0.8272	1.0844	0.2058	52.9954
1	0.8232	1.1044	0.273	54.1954
1	0.8192	1.1244	0.2598	55.3954
1	0.8152	1.1444	0.1926	56.5954
1	0.8112	1.1644	0.1254	57.7954
1	0.8072	1.1844	0.0582	58.9954
1	0.8032	1.2044	0.049	59.8046
1	0.7992	1.2244	0.1162	58.6046
1	0.7952	1.2444	0.1834	57.4046
1	0.7912	1.2644	0.2506	56.2046
1	0.7872	1.2844	0.2822	55.0046
1	0.7832	1.3044	0.215	53.8046
1	0.7792	1.3244	0.1478	52.6046
1	0.7752	1.3444	0.0806	51.4046
1	0.7712	1.3644	0.0266	50.2046
1	0.7672	1.3844	0.0938	49.0046
1	0.7632	1.4044	0.161	47.8046
1	0.7592	1.4244	0.2282	46.6046
1	0.7552	1.4444	0.2954	45.4046
1	0.7512	1.4644	0.2374	44.2046
1	0.7472	1.4844	0.1702	43.0046
1	0.7432	1.4956	0.103	41.8046
1	0.7392	1.4756	0.0358	40.6046
1	0.7352	1.4556	0.0714	39.4046
1	0.7312	1.4356	0.1386	38.2046
1	0.7272	1.4156	0.2058	37.0046
1	0.7232	1.3956	0.273	35.8046
1	0.7192	1.3756	0.2598	34.6046
1	0.7152	1.3556	0.1926	33.4046
1	0.7112	1.3356	0.1254	32.2046
1	0.7072	1.3156	0.0582	31.0046
1	0.7032	1.2956	0.049	29.8046
1	0.6992	1.2756	0.1162	28.6046
1	0.6952	1.2556	0.1834	27.4046
1	0.6912	1.2356	0.2506	26.2046
1	0.6872	1.2156	0.2822	25.0046
1	0.6832	1.1956	0.215	23.8046
1	0.6792	1.1756	0.1478	22.6046
1	0.6752	1.1556	0.0806	21.4046
1	0.6712	1.1356	0.0266	20.2046
1	0.6672	1.1156	0.0938	20.9954
1	0.6632	1.0956	0.161	22.1954
1	0.6592	1.0756	0.2282	23.3954
1	0.6552	1.0556	0.2954	24.5954
1	0.6512	1.0356	0.2374	25.7954
1	0.6472	1.0156	0.1702	26.9954
1	0.6432	0.9956	0.103	28.1954
1	0.6392	0.9756	0.0358	29.3954
1	0.6352	0.9556	0.0714	30.5954
1	0.6312	0.9356	0.1386	31.7954
1	0.6272	0.9156	0.2058	32.9954
1	0.6232	0.8956	0.273	34.1954
1	0.6192	0.8756	0.2598	35.3954
1	0.6152	0.8556	0.1926	36.5954
1	0.6112	0.8356	0.1254	37.7954
1	0.6072	0.8156	0.0582	38.9954
1	0.6032	0.7956	0.049	40.1954
1	0.6008	0.7756	0.1162	41.3954
1	0.6048	0.7556	0.1834	42.5954
1	0.6088	0.7356	0.2506	43.7954
1	0.6128	0.7156	0.2822	44.9954
1	0.6168	0.6956	0.215	46.1954
1	0.6208	0.6756	0.1478	47.3954
1	0.6248	0.6556	0.0806	48.5954
1	0.6288	0.6356	0.0266	49.7954
1	0.6328	0.6156	0.0938	50.9954
1	0.6368	0.5956	0.161	52.1954
1	0.6408	0.5756	0.2282	53.3954
1	0.6448	0.5556	0.2954	54.5954
1	0.6488	0.5356	0.2374	55.7954
1	0.6528	0.5156	0.1702	56.9954
1	0.6568	0.5044	0.103	58.1954
1	0.6608	0.5244	0.0358	59.3954
1	0.6648	0.5444	0.0714	59.4046
1	0.6688	0.5644	0.1386	58.2046
1	0.6728	0.5844	0.2058	57.0046
1	0.6768	0.6044	0.273	55.8046
1	0.6808	0.6244	0.2598	54.6046
1	0.6848	0.6444	0.1926	53.4046
1	0.6888	0.6644	0.1254	52.2046
1	0.6928	0.6844	0.0582	51.0046
1	0.6968	0.7044	0.049	49.8046
1	0.7008	0.7244	0.1162	48.6046
1	0.7048	0.7444	0.1834	47.4046
1	0.7088	0.7644	0.2506	46.2046
1	0.7128	0.7844	0.2822	45.0046
1	0.7168	0.8044	0.215	43.8046
1	0.7208	0.8244	0.1478	42.6046
1	0.7248	0.8444	0.0806	41.4046
1	0.7288	0.8644	0.0266	40.2046
1	0.7328	0.8844	0.0938	39.0046
1	0.7368	0.9044	0.161	37.8046
1	0.7408	0.9244	0.2282	36.6046
1	0.7448	0.9444	0.2954	35.4046
1	0.7488	0.9644	0.2374	34.2046
1	0.7528	0.9844	0.1702	33.0046
1	0.7568	1.0044	0.103	31.8046
1	0.7608	1.0244	0.0358	30.6046
1	0.9519	0.5149	0.0822	39.4013
1	0.9479	0.5051	0.0738	49.0013
1	0.9439	0.5251	0.0654	58.6013
1	0.9399	0.5451	0.057	51.7987
1	0.9359	0.5651	0.0486	42.1987
1	0.9319	0.5851	0.0402	32.5987
1	0.9279	0.6051	0.0318	22.9987
1	0.9239	0.6251	0.0234	26.6013
1	0.9199	0.6451	0.025	36.2013
1	0.9159	0.6651	0.0334	45.8013
1	0.9119	0.6851	0.0418	55.4013
1	0.9079	0.7051	0.0502	54.9987
1	0.9039	0.7251	0.0586	45.3987
1	0.8999	0.7451	0.067	35.7987
1	0.8959	0.7651	0.0754	26.1987
1	0.8919	0.7851	0.0838	23.4013
1	0.8879	0.8051	0.0922	33.0013
1	0.8839	0.8251	0.1006	42.6013
1	0.8799	0.8451	0.109	52.2013
1	0.8759	0.8651	0.1174	58.1987
1	0.8719	0.8851	0.1258	48.5987
1	0.8679	0.9051	0.1342	38.9987
1	0.8639	0.9251	0.1426	29.3987
1	0.8599	0.9451	0.151	20.2013
1	0.8559	0.9651	0.1594	29.8013
1	0.8519	0.9851	0.1678	39.4013
1	0.8479	1.0051	0.1762	49.0013
1	0.8439	1.0251	0.1846	58.6013
1	0.8399	1.0451	0.193	51.7987
1	0.8359	1.0651	0.2014	42.1987
1	0.8319	1.0851	0.2098	32.5987
1	0.8279	1.1051	0.2182	22.9987
1	0.8239	1.1251	0.2266	26.6013
1	0.8199	1.1451	0.235	36.2013
1	0.8159	1.1651	0.2434	45.8013
1	0.8119	1.1851	0.2518	55.4013
1	0.8079	1.2051	0.2602	54.9987
1	0.8039	1.2251	0.2686	45.3987
1	0.7999	1.2451	0.277	35.7987
1	0.7959	1.2651	0.2854	26.1987
1	0.7919	1.2851	0.2938	23.4013
1	0.7879	1.3051	0.2978	33.0013
1	0.7839	1.3251	0.2894	42.6013
1	0.7799	1.3451	0.281	52.2013
1	0.7759	1.3651	0.2726	58.1987
1	0.7719	1.3851	0.2642	48.5987
1	0.7679	1.4051	0.2558	38.9987
1	0.7639	1.4251	0.2474	29.3987
1	0.7599	1.4451	0.239	20.2013
1	0.7559	1.4651	0.2306	29.8013
1	0.7519	1.4851	0.2222	39.4013
1	0.7479	1.4949	0.2138	49.0013
1	0.7439	1.4749	0.2054	58.6013
1	0.7399	1.4549	0.197	51.7987
1	0.7359	1.4349	0.1886	42.1987
1	0.7319	1.4149	0.1802	32.5987
1	0.7279	1.3949	0.1718	22.9987
1	0.7239	1.3749	0.1634	26.6013
1	0.7199	1.3549	0.155	36.2013
1	0.7159	1.3349	0.1466	45.8013
1	0.7119	1.3149	0.1382	55.4013
1	0.7079	1.2949	0.1298	54.9987
1	0.7039	1.2749	0.1214	45.3987
1	0.6999	1.2549	0.113	35.7987
1	0.6959	1.2349	0.1046	26.1987
1	0.6919	1.2149	0.0962	23.4013
1	0.6879	1.1949	0.0878	33.0013
1	0.6839	1.1749	0.0794	42.6013
1	0.6799	1.1549	0.071	52.2013
1	0.6759	1.1349	0.0626	58.1987
1	0.6719	1.1149	0.0542	48.5987
1	0.6679	1.0949	0.0458	38.9987
1	0.6639	1.0749	0.0374	29.3987
1	0.6599	1.0549	0.029	20.2013
1	0.6559	1.0349	0.0206	29.8013
1	0.6519	1.0149	0.0278	39.4013
1	0.6479	0.9949	0.0362	49.0013
1	0.6439	0.9749	0.0446	58.6013
1	0.6399	0.9549	0.053	51.7987
1	0.6359	0.9349	0.0614	42.1987
1	0.6319	0.9149	0.0698	32.5987
1	0.6279	0.8949	0.0782	22.9987
1	0.6239	0.8749	0.0866	26.6013
1	0.6199	0.8549	0.095	36.2013
1	0.6159	0.8349	0.1034	45.8013
1	0.6119	0.8149	0.1118	55.4013
1	0.6079	0.7949	0.1202	54.9987
1	0.6039	0.7749	0.1286	45.3987
1	0.6001	0.7549	0.137	35.7987
1	0.6041	0.7349	0.1454	26.1987
1	0.6081	0.7149	0.1538	23.4013
1	0.6121	0.6949	0.1622	33.0013
1	0.6161	0.6749	0.1706	42.6013
1	0.6201	0.6549	0.179	52.2013
1	0.6241	0.6349	0.1874	58.1987
1	0.6281	0.6149	0.1958	48.5987
1	0.6321	0.5949	0.2042	38.9987
1	0.6361	0.5749	0.2126	29.3987
1	0.6401	0.5549	0.221	20.2013
1	0.6441	0.5349	0.2294	29.8013
1	0.6481	0.5149	0.2378	39.4013
1	0.6521	0.5051	0.2462	49.0013
1	0.6561	0.5251	0.2546	58.6013
1	0.6601	0.5451	0.263	51.7987
1	0.6641	0.5651	0.2714	42.1987
1	0.6681	0.5851	0.2798	32.5987
1	0.6721	0.6051	0.2882	22.9987
1	0.6761	0.6251	0.2966	26.6013
1	0.6801	0.6451	0.295	36.2013
1	0.6841	0.6651	0.2866	45.8013
1	0.6881	0.6851	0.2782	55.4013
1	0.6921	0.7051	0.2698	54.9987
1	0.6961	0.7251	0.2614	45.3987
1	0.7001	0.7451	0.253	35.7987
1	0.7041	0.7651	0.2446	26.1987
1	0.7081	0.7851	0.2362	23.4013
1	0.7121	0.8051	0.2278	33.0013
1	0.7161	0.8251	0.2194	42.6013
1	0.7201	0.8451	0.211	52.2013
1	0.7241	0.8651	0.2026	58.1987
1	0.7281	0.8851	0.1942	48.5987
1	0.7321	0.9051	0.1858	38.9987
1	0.7361	0.9251	0.1774	29.3987
1	0.7401	0.9451	0.169	20.2013
1	0.7441	0.9651	0.1606	29.8013
1	0.7481	0.9851	0.1522	39.4013
1	0.7521	1.0051	0.1438	49.0013
1	0.7561	1.0251	0.1354	58.6013
1	0.7601	1.0451	0.127	51.7987
1	0.7641	1.0651	0.1186	42.1987
1	0.7681	1.0851	0.1102	32.5987
1	0.7721	1.1051	0.1018	22.9987
1	0.7761	1.1251	0.0934	26.6013
1	0.7801	1.1451	0.085	36.2013
1	0.7841	1.1651	0.0766	45.8013
1	0.7881	1.1851	0.0682	55.4013
1	0.7921	1.2051	0.0598	54.9987
1	0.7961	1.2251	0.0514	45.3987
1	0.8001	1.2451	0.043	35.7987
1	0.8041	1.2651	0.0346	26.1987
1	0.8081	1.2851	0.0262	23.4013
1	0.8121	1.3051	0.0222	33.0013
1	0.8161	1.3251	0.0306	42.6013
1	0.8201	1.3451	0.039	52.2013
1	0.8241	1.3651	0.0474	58.1987
1	0.8281	1.3851	0.0558	48.5987
1	0.8321	1.4051	0.0642	38.9987
1	0.8361	1.4251	0.0726	29.3987
1	0.8401	1.4451	0.081	20.2013
1	0.8441	1.4651	0.0894	29.8013
1	0.8481	1.4851	0.0978	39.4013
1	0.8521	1.4949	0.1062	49.0013
1	0.8561	1.4749	0.1146	58.6013
1	0.8601	1.4549	0.123	51.7987
1	0.8641	1.4349	0.1314	42.1987
1	0.8681	1.4149	0.1398	32.5987
1	0.8721	1.3949	0.1482	22.9987
1	0.8761	1.3749	0.1566	26.6013
1	0.8801	1.3549	0.165	36.2013
1	0.8841	1.3349	0.1734	45.8013
1	0.8881	1.3149	0.1818	55.4013
1	0.8921	1.2949	0.1902	54.9987
1	0.8961	1.2749	0.1986	45.3987
1	0.9001	1.2549	0.207	35.7987
1	0.9041	1.2349	0.2154	26.1987
1	0.9081	1.2149	0.2238	23.4013
1	0.9121	1.1949	0.2322	33.0013
1	0.9161	1.1749	0.2406	42.6013
1	0.9201	1.1549	0.249	52.2013
1	0.9241	1.1349	0.2574	58.1987
1	0.9281	1.1149	0.2658	48.5987
1	0.9321	1.0949	0.2742	38.9987
1	0.9361	1.0749	0.2826	29.3987
1	0.9401	1.0549	0.291	20.2013
1	0.9441	1.0349	0.2994	29.8013
1	0.9481	1.0149	0.2922	39.4013
1	0.9521	0.9949	0.2838	49.0013
1	0.9561	0.9749	0.2754	58.6013
1	0.9601	0.9549	0.267	51.7987
1	0.9641	0.9349	0.2586	42.1987
1	0.9681	0.9149	0.2502	32.5987
1	0.9721	0.8949	0.2418	22.9987
1	0.9761	0.8749	0.2334	26.6013
1	0.9801	0.8549	0.225	36.2013
1	0.9841	0.8349	0.2166	45.8013
1	0.9881	0.8149	0.2082	55.4013
1	0.9921	0.7949	0.1998	54.9987
1	0.9961	0.7749	0.1914	45.3987
1	0.9999	0.7549	0.183	35.7987
1	0.9959	0.7349	0.1746	26.1987
1	0.9919	0.7149	0.1662	23.4013
1	0.9879	0.6949	0.1578	33.0013
1	0.9839	0.6749	0.1494	42.6013
1	0.9799	0.6549	0.141	52.2013
1	0.9759	0.6349	0.1326	58.1987
1	0.9719	0.6149	0.1242	48.5987
1	0.9679	0.5949	0.1158	38.9987
1	0.9639	0.5749	0.1074	29.3987
1	0.9599	0.5549	0.099	20.2013
1	0.9559	0.5349	0.0906	29.8013
1	0.9026	0.7665	0.0536	25.7481
1	0.9986	0.7765	0.0592	26.9481
1	0.9054	0.7865	0.0648	28.1481
1	0.8094	0.7965	0.0704	29.3481
1	0.7134	0.8065	0.076	30.5481
1	0.6174	0.8165	0.0816	31.7481
1	0.6786	0.8265	0.0872	32.9481
1	0.7746	0.8365	0.0928	34.1481
1	0.8706	0.8465	0.0984	35.3481
1	0.9666	0.8565	0.104	36.5481
1	0.9374	0.8665	0.1096	37.7481
1	0.8414	0.8765	0.1152	38.9481
1	0.7454	0.8865	0.1208	40.1481
1	0.6494	0.8965	0.1264	41.3481
1	0.6466	0.9065	0.132	42.5481
1	0.7426	0.9165	0.1376	43.7481
1	0.8386	0.9265	0.1432	44.9481
1	0.9346	0.9365	0.1488	46.1481
1	0.9694	0.9465	0.1544	47.3481
1	0.8734	0.9565	0.16	48.5481
1	0.7774	0.9665	0.1656	49.7481
1	0.6814	0.9765	0.1712	50.9481
1	0.6146	0.9865	0.1768	52.1481
1	0.7106	0.9965	0.1824	53.3481
1	0.8066	1.0065	0.188	54.5481
1	0.9026	1.0165	0.1936	55.7481
1	0.9986	1.0265	0.1992	56.9481
1	0.9054	1.0365	0.2048	58.1481
1	0.8094	1.0465	0.2104	59.3481
1	0.7134	1.0565	0.216	59.4519
1	0.6174	1.0665	0.2216	58.2519
1	0.6786	1.0765	0.2272	57.0519
1	0.7746	1.0865	0.2328	55.8519
1	0.8706	1.0965	0.2384	54.6519
1	0.9666	1.1065	0.244	53.4519
1	0.9374	1.1165	0.2496	52.2519
1	0.8414	1.1265	0.2552	51.0519
1	0.7454	1.1365	0.2608	49.8519
1	0.6494	1.1465	0.2664	48.6519
1	0.6466	1.1565	0.272	47.4519
1	0.7426	1.1665	0.2776	46.2519
1	0.8386	1.1765	0.2832	45.0519
1	0.9346	1.1865	0.2888	43.8519
1	0.9694	1.1965	0.2944	42.6519
1	0.8734	1.2065	0.3	41.4519
1	0.7774	1.2165	0.2944	40.2519
1	0.6814	1.2265	0.2888	39.0519
1	0.6146	1.2365	0.2832	37.8519
1	0.7106	1.2465	0.2776	36.6519
1	0.8066	1.2565	0.272	35.4519
1	0.9026	1.2665	0.2664	34.2519
1	0.9986	1.2765	0.2608	33.0519
1	0.9054	1.2865	0.2552	31.8519
1	0.8094	1.2965	0.2496	30.6519
1	0.7134	1.3065	0.244	29.4519
1	0.6174	1.3165	0.2384	28.2519
1	0.6786	1.3265	0.2328	27.0519
1	0.7746	1.3365	0.2272	25.8519
1	0.8706	1.3465	0.2216	24.6519
1	0.9666	1.3565	0.216	23.4519
1	0.9374	1.3665	0.2104	22.2519
1	0.8414	1.3765	0.2048	21.0519
1	0.7454	1.3865	0.1992	20.1481
1	0.6494	1.3965	0.1936	21.3481
1	0.6466	1.4065	0.188	22.5481
1	0.7426	1.4165	0.1824	23.7481
1	0.8386	1.4265	0.1768	24.9481
1	0.9346	1.4365	0.1712	26.1481
1	0.9694	1.4465	0.1656	27.3481
1	0.8734	1.4565	0.16	28.5481
1	0.7774	1.4665	0.1544	29.7481
1	0.6814	1.4765	0.1488	30.9481
1	0.6146	1.4865	0.1432	32.1481
1	0.7106	1.4965	0.1376	33.3481
1	0.8066	1.4935	0.132	34.5481
1	0.9026	1.4835	0.1264	35.7481
1	0.9986	1.4735	0.1208	36.9481
1	0.9054	1.4635	0.1152	38.1481
1	0.8094	1.4535	0.1096	39.3481
1	0.7134	1.4435	0.104	40.5481
1	0.6174	1.4335	0.0984	41.7481
1	0.6786	1.4235	0.0928	42.9481
1	0.7746	1.4135	0.0872	44.1481
1	0.8706	1.4035	0.0816	45.3481
1	0.9666	1.3935	0.076	46.5481
1	0.9374	1.3835	0.0704	47.7481
1	0.8414	1.3735	0.0648	48.9481
1	0.7454	1.3635	0.0592	50.1481
1	0.6494	1.3535	0.0536	51.3481
1	0.6466	1.3435	0.048	52.5481
1	0.7426	1.3335	0.0424	53.7481
1	0.8386	1.3235	0.0368	54.9481
1	0.9346	1.3135	0.0312	56.1481
1	0.9694	1.3035	0.0256	57.3481
1	0.8734	1.2935	0.02	58.5481
1	0.7774	1.2835	0.0256	59.7481
1	0.6814	1.2735	0.0312	59.0519
1	0.6146	1.2635	0.0368	57.8519
1	0.7106	1.2535	0.0424	56.6519
1	0.8066	1.2435	0.048	55.4519
1	0.9026	1.2335	0.0536	54.2519
1	0.9986	1.2235	0.0592	53.0519
1	0.9054	1.2135	0.0648	51.8519
1	0.8094	1.2035	0.0704	50.6519
1	0.7134	1.1935	0.076	49.4519
1	0.6174	1.1835	0.0816	48.2519
1	0.6786	1.1735	0.0872	47.0519
1	0.7746	1.1635	0.0928	45.8519
1	0.8706	1.1535	0.0984	44.6519
1	0.9666	1.1435	0.104	43.4519
1	0.9374	1.1335	0.1096	42.2519
1	0.8414	1.1235	0.1152	41.0519
1	0.7454	1.1135	0.1208	39.8519
1	0.6494	1.1035	0.1264	38.6519
1	0.6466	1.0935	0.132	37.4519
1	0.7426	1.0835	0.1376	36.2519
1	0.8386	1.0735	0.1432	35.0519
1	0.9346	1.0635	0.1488	33.8519
1	0.9694	1.0535	0.1544	32.6519
1	0.8734	1.0435	0.16	31.4519
1	0.7774	1.0335	0.1656	30.2519
1	0.6814	1.0235	0.1712	29.0519
1	0.6146	1.0135	0.1768	27.8519
1	0.7106	1.0035	0.1824	26.6519
1	0.8066	0.9935	0.188	25.4519
1	0.9026	0.9835	0.1936	24.2519
1	0.9986	0.9735	0.1992	23.0519
1	0.9054	0.9635	0.2048	21.8519
1	0.8094	0.9535	0.2104	20.6519
1	0.7134	0.9435	0.216	20.5481
1	0.6174	0.9335	0.2216	21.7481
1	0.6786	0.9235	0.2272	22.9481
1	0.7746	0.9135	0.2328	24.1481
1	0.8706	0.9035	0.2384	25.3481
1	0.9666	0.8935	0.244	26.5481
1	0.9374	0.8835	0.2496	27.7481
1	0.8414	0.8735	0.2552	28.9481
1	0.7454	0.8635	0.2608	30.1481
1	0.6494	0.8535	0.2664	31.3481
1	0.6466	0.8435	0.272	32.5481
1	0.7426	0.8335	0.2776	33.7481
1	0.8386	0.8235	0.2832	34.9481
1	0.9346	0.8135	0.2888	36.1481
1	0.9694	0.8035	0.2944	37.3481
1	0.8734	0.7935	0.3	38.5481
1	0.7774	0.7835	0.2944	39.7481
1	0.6814	0.7735	0.2888	40.9481
1	0.6146	0.7635	0.2832	42.1481
1	0.7106	0.7535	0.2776	43.3481
1	0.8066	0.7435	0.272	44.5481
1	0.9026	0.7335	0.2664	45.7481
1	0.9986	0.7235	0.2608	46.9481
1	0.9054	0.7135	0.2552	48.1481
1	0.8094	0.7035	0.2496	49.3481
1	0.7134	0.6935	0.244	50.5481
1	0.6174	0.6835	0.2384	51.7481
1	0.6786	0.6735	0.2328	52.9481
1	0.7746	0.6635	0.2272	54.1481
1	0.8706	0.6535	0.2216	55.3481
1	0.9666	0.6435	0.216	56.5481
