Iter	Fgutabs	k_a	k_e	V_dist	C_rest_1.1	C_rest_1.2	C_rest_1.3	C_rest_1.4	C_rest_1.5	C_rest_1.6	C_rest_1.7	C_rest_1.8	C_rest_1.9	C_rest_1.10	C_rest_1.11	C_rest_1.12	C_rest_1.13	C_rest_1.14	C_rest_1.15	C_rest_1.16	C_rest_1.17	C_rest_1.18	C_rest_1.19	C_rest_1.20	C_rest_1.21	C_rest_1.22	C_rest_1.23	C_rest_1.24	C_rest_1.25
30	0.629	0.5446	0.1092	45.8704	1.20491	3.0818	4.3963	5.28857	5.86505	6.20649	6.37411	6.41426	6.36197	6.24367	6.07928	5.88372	5.66817	5.44093	5.20814	4.97429	4.74264	4.51552	4.29453	4.08077	3.87493	3.6774	3.48837	3.30787	3.1358
31	0.667	0.5546	0.1148	47.0704	1.26554	3.22452	4.58272	5.49267	6.06959	6.40041	6.55066	6.56968	6.49454	6.35303	6.16596	5.94879	5.71304	5.46716	5.21737	4.96815	4.7227	4.48327	4.25137	4.02801	3.81376	3.60894	3.41362	3.22775	3.05113
32	0.763	0.5646	0.1204	48.2704	1.43436	3.64075	5.15496	6.15596	6.77821	7.1226	7.26476	7.26131	7.15452	6.97589	6.74883	6.49064	6.21405	5.92838	5.64037	5.35484	5.07517	4.80367	4.54189	4.29076	4.0508	3.82223	3.60501	3.39899	3.20388
33	0.859	0.5746	0.126	49.4704	1.60046	4.04687	5.7086	6.79222	7.45204	7.80326	7.9317	7.90126	7.75934	7.54107	7.27232	6.97211	6.65433	6.32899	6.0033	5.68234	5.36959	5.06739	4.77724	4.50001	4.23609	3.98558	3.74833	3.52405	3.31231
34	0.955	0.5846	0.1316	50.6704	1.764	4.44338	6.24456	7.40279	8.09292	8.4447	8.55429	8.49282	8.31278	8.05276	7.74103	7.39818	7.03912	6.67452	6.31194	5.95661	5.61209	5.28069	4.9638	4.66218	4.3761	4.10549	3.85007	3.60939	3.3829
35	0.949	0.5946	0.1372	51.8704	1.73828	4.36191	6.10722	7.21358	7.85792	8.17083	8.24854	8.16179	7.96246	7.68844	7.36729	7.01894	6.65765	6.29354	5.9337	5.58295	5.24449	4.92031	4.61158	4.31882	4.04213	3.7813	3.53592	3.30545	3.08923
36	0.853	0.6046	0.1428	53.0704	1.54978	3.8741	5.40401	6.35972	6.90309	7.15293	7.19627	7.09672	6.90063	6.64163	6.34399	6.0251	5.69734	5.36935	5.04711	4.73461	4.43443	4.14814	3.87654	3.61994	3.37827	3.15123	2.93833	2.73899	2.55257
37	0.757	0.6146	0.1484	54.2704	1.36455	3.39807	4.72234	5.53725	5.98894	6.18405	6.20027	6.09404	5.9062	5.66619	5.39509	5.1079	4.81515	4.52414	4.23984	3.96548	3.70311	3.45389	3.21837	2.99665	2.78855	2.5937	2.41157	2.24158	2.08309
38	0.661	0.6246	0.154	55.4704	1.1824	2.93326	4.06121	4.7447	5.11347	5.26166	5.25747	5.15012	4.97501	4.75747	4.5155	4.26179	4.00518	3.7517	3.50537	3.2688	3.04353	2.8304	2.62973	2.4415	2.26543	2.1011	1.94799	1.80554	1.67312
39	0.635	0.6346	0.1596	56.6704	1.12745	2.7863	3.84338	4.47388	4.80444	4.92648	4.90579	4.78957	4.61157	4.39573	4.15897	3.91307	3.66616	3.42372	3.18933	2.96526	2.75278	2.55254	2.36469	2.18909	2.0254	1.87311	1.73167	1.60048	1.47891
40	0.731	0.6446	0.1652	57.8704	1.28851	3.17222	4.35944	5.05614	5.41044	5.52858	5.48662	5.33879	5.12356	4.86808	4.59133	4.30643	4.02233	3.74496	3.47814	3.22418	2.98435	2.75919	2.54873	2.35267	2.1705	2.00156	1.84516	1.70053	1.56691
41	0.827	0.6546	0.1708	59.0704	1.44746	3.54998	4.86044	5.61673	5.98896	6.09849	6.03163	5.84957	5.59542	5.29936	4.98233	4.65866	4.338	4.02665	3.72857	3.44609	3.1804	2.93187	2.7004	2.48549	2.28647	2.1025	1.9327	1.77615	1.63196
42	0.923	0.6646	0.1764	59.7296	1.61892	3.95539	5.39539	6.21228	6.60047	6.69786	6.60195	6.38138	6.08422	5.74385	5.38322	5.0179	4.65822	4.31082	3.97979	3.6674	3.37472	3.10195	2.84879	2.61453	2.39829	2.19903	2.01569	1.84717	1.69242
43	0.981	0.6746	0.182	58.5296	1.77889	4.32972	5.88406	6.75035	7.14674	7.22705	7.09941	6.83942	6.49969	6.11645	5.7144	5.31012	4.91444	4.53422	4.17354	3.83459	3.51822	3.22446	2.95274	2.70215	2.47156	2.25976	2.06547	1.88743	1.72442
44	0.885	0.6846	0.1876	57.3296	1.65947	4.0237	5.44786	6.22728	6.5696	6.62042	6.48146	6.2234	5.89504	5.52974	5.15004	4.77089	4.40192	4.04912	3.71593	3.40407	3.11409	2.84578	2.59844	2.37109	2.16256	1.97161	1.79698	1.63743	1.49178
45	0.789	0.6946	0.1932	56.1296	1.53019	3.69613	4.98579	5.67844	5.96938	5.99475	5.84906	5.59757	5.285	4.9417	4.58795	4.23706	3.89747	3.57432	3.27044	2.98714	2.72468	2.4827	2.26038	2.05669	1.87045	1.70044	1.54543	1.40423	1.27571
46	0.693	0.7046	0.1988	54.9296	1.39045	3.34581	4.49649	5.10262	5.34508	5.34925	5.20162	4.9615	4.66926	4.35205	4.02786	3.70833	3.40075	3.10942	2.83661	2.58326	2.34941	2.13455	1.93781	1.75813	1.59436	1.44532	1.30985	1.18681	1.07515
47	0.603	0.7146	0.2044	53.7296	1.25202	3.00126	4.01849	4.54367	4.74276	4.73007	4.584	4.35794	4.08796	3.79813	3.50421	3.21629	2.94057	2.68059	2.43815	2.21386	2.00758	1.8187	1.64631	1.48938	1.3468	1.21743	1.10019	0.994024	0.897958
48	0.699	0.7246	0.21	52.5296	1.50235	3.58768	4.78585	5.39176	5.60813	5.57384	5.3835	5.10112	4.76962	4.41739	4.06282	3.71754	3.38854	3.0797	2.79286	2.52849	2.28621	2.06512	1.86401	1.6815	1.51618	1.36665	1.23154	1.10956	0.999499
49	0.795	0.7346	0.2156	51.3296	1.76933	4.20918	5.59411	6.27956	6.50852	6.44643	6.20532	5.86046	5.46192	5.04251	4.62331	4.21741	3.83252	3.47279	3.14002	2.83445	2.5554	2.3016	2.07148	1.86332	1.67534	1.50582	1.35311	1.21564	1.09197
50	0.891	0.7446	0.2212	50.1296	2.05411	4.86811	6.44587	7.20955	7.44608	7.34967	7.05097	6.63719	6.16586	5.67438	5.18645	4.7166	4.27319	3.86053	3.48028	3.13239	2.8158	2.52881	2.26944	2.03555	1.82499	1.63567	1.46563	1.31302	1.17612
51	0.987	0.7546	0.2268	48.9296	2.35797	5.56701	7.34401	8.18444	8.42318	8.28553	7.92208	7.43266	6.8826	6.31395	5.75308	5.21588	4.71126	4.24359	3.8143	3.42298	3.06808	2.74743	2.45856	2.19887	1.96581	1.75689	1.56979	1.40236	1.25261
52	0.917	0.7646	0.2324	47.7296	2.27117	5.34174	7.02074	7.79595	7.99512	7.83745	7.46851	6.98409	6.44642	5.89513	5.35479	4.83993	4.35849	3.91414	3.5078	3.13871	2.80512	2.50471	2.23493	1.99316	1.77683	1.58349	1.41086	1.25683	1.11945
53	0.821	0.7746	0.238	46.5296	2.10904	4.94157	6.47077	7.15934	7.31643	7.14753	6.78823	6.32711	5.82125	5.30664	4.80529	4.33	3.88753	3.4808	3.11025	2.77486	2.47275	2.20157	1.95881	1.74193	1.54846	1.37606	1.22258	1.08602	0.964596
54	0.725	0.7846	0.2436	45.3296	1.93266	4.51113	5.8853	6.4881	6.60716	6.43251	6.08869	5.65651	5.18755	4.71406	4.25548	3.82287	3.4219	3.05477	2.72154	2.42098	2.15115	1.90973	1.69429	1.5024	1.33173	1.18011	1.04553	0.926132	0.820266
55	0.629	0.7946	0.2492	44.1296	1.74092	4.04817	5.26178	5.77982	5.86522	5.69062	5.36844	4.97105	4.54431	4.11654	3.70459	3.31785	2.96093	2.6354	2.34101	2.07641	1.83964	1.62848	1.44063	1.27383	1.12592	0.994912	0.878955	0.776387	0.685704
56	0.667	0.8046	0.2548	42.9296	1.91786	4.4427	5.75325	6.29693	6.36756	6.15687	5.78888	5.34286	4.86857	4.39642	3.94424	3.52173	3.13344	2.78067	2.4628	2.17806	1.92412	1.69837	1.49817	1.32093	1.16424	1.02586	0.90374	0.796031	0.701075
57	0.763	0.8146	0.2604	41.7296	2.28061	5.26297	6.79033	7.40529	7.46212	7.19054	6.7382	6.19873	5.6304	5.06841	4.53309	4.03521	3.57953	3.16712	2.79684	2.46628	2.17244	1.91205	1.68184	1.47865	1.29956	1.14186	1.00309	0.881049	0.773769
58	0.859	0.8246	0.266	40.5296	2.67085	6.14016	7.89284	8.57671	8.61225	8.27047	7.72435	7.08277	6.41284	5.75467	5.13101	4.55359	4.02728	3.55273	3.12817	2.75044	2.41575	2.12009	1.8595	1.63021	1.4287	1.25177	1.09654	0.960422	0.841106
59	0.955	0.8346	0.2716	39.3296	3.09105	7.07924	9.06641	9.81657	9.82274	9.40073	8.75074	7.99777	7.2182	6.4571	5.7396	5.07826	4.47787	3.93855	3.45772	3.03137	2.65481	2.32322	2.03185	1.77623	1.55226	1.35619	1.18466	1.03468	0.903593
60	0.949	0.8446	0.2772	38.1296	3.20006	7.30112	9.31608	10.0507	10.0218	9.55859	8.86807	8.07866	7.26797	6.48131	5.7434	5.06624	4.45392	3.9059	3.41902	2.98874	2.60993	2.2774	1.98609	1.7313	1.50871	1.31442	1.14493	0.99717	0.868386
61	0.853	0.8546	0.2828	36.9296	2.99916	6.81683	8.66606	9.31587	9.25669	8.79874	8.136	7.38766	6.62517	5.88963	5.20307	4.57574	4.0107	3.50684	3.06074	2.66778	2.32295	2.02117	1.75762	1.52779	1.32759	1.15336	1.00181	0.870062	0.755565
62	0.757	0.8646	0.2884	35.7296	2.77782	6.28983	7.96663	8.53328	8.44946	8.00413	7.37666	6.67644	5.96833	5.28917	4.65829	4.08427	3.56924	3.11165	2.70788	2.35339	2.0433	1.77276	1.53721	1.3324	1.15453	1.00018	0.866313	0.750268	0.649704
63	0.661	0.8746	0.294	34.5296	2.53396	5.71592	7.21305	7.69842	7.59621	7.17139	6.58729	5.94267	5.29552	4.67832	4.10768	3.59064	3.12852	2.71939	2.35962	2.04478	1.77025	1.53147	1.3242	1.14452	0.988924	0.854293	0.737869	0.637232	0.550269
64	0.635	0.8846	0.2996	33.3296	2.54583	5.72096	7.19283	7.64935	7.52149	7.07674	6.4788	5.82588	5.175	4.55762	3.98947	3.4768	3.02031	2.61761	2.26468	1.95684	1.68924	1.45722	1.2564	1.08284	0.932989	0.8037	0.692216	0.596125	0.513327
65	0.731	0.8946	0.2948	32.1296	3.07268	6.89842	8.66822	9.21622	9.06305	8.53057	7.81514	7.03414	6.25556	5.5168	4.83653	4.22215	3.67449	3.1907	2.76608	2.39508	2.07201	1.79135	1.54796	1.33716	1.15477	0.99706	0.860765	0.743022	0.641335
66	0.827	0.9046	0.2892	30.9296	3.64961	8.1879	10.2852	10.936	10.7586	10.1339	9.29364	8.37581	7.46025	6.59079	5.7893	5.06448	4.41738	3.84476	3.34119	2.9003	2.51552	2.18047	1.88921	1.63633	1.41696	1.22679	1.062	0.91926	0.795651
67	0.923	0.9146	0.2836	29.7296	4.28238	9.60083	12.0565	12.8204	12.6179	11.8945	10.92	9.85483	8.79158	7.78095	6.84827	6.00367	5.24842	4.5789	3.98896	3.47135	3.0186	2.62343	2.27907	1.97934	1.71865	1.49206	1.2952	1.12422	0.975751
68	0.981	0.9246	0.278	28.5296	4.7924	10.7369	13.4793	14.3349	14.1152	13.3167	12.2394	11.061	9.88377	8.76374	7.72887	6.79038	5.94981	5.20328	4.54416	3.9646	3.4565	3.01197	2.62364	2.28476	1.98927	1.73175	1.50742	1.31205	1.14194
69	0.885	0.9346	0.2724	27.3296	4.5598	10.2089	12.813	13.6282	13.4262	12.6775	11.6654	10.5574	9.44965	8.39463	7.41861	6.53219	5.73692	5.02929	4.40323	3.85154	3.36674	2.94157	2.56923	2.24347	1.95867	1.70981	1.49244	1.30262	1.13689
70	0.789	0.9446	0.2668	26.1296	4.29523	9.61012	12.0586	12.8279	12.6446	11.9502	11.0094	9.9785	8.94685	7.96328	7.05219	6.22348	5.47869	4.81471	4.22604	3.70613	3.2482	2.8456	2.49214	2.18209	1.91033	1.67222	1.46367	1.28106	1.12119
71	0.693	0.9546	0.2612	24.9296	3.9941	8.93051	11.2034	11.9203	11.7568	11.1214	10.2587	9.31223	8.36417	7.4593	6.61997	5.85535	5.16694	4.552	4.00565	3.52203	3.09504	2.71873	2.3875	2.0962	1.84018	1.61528	1.41776	1.24433	1.09208
72	0.603	0.9646	0.2556	23.7296	3.68757	8.23979	10.3347	10.9985	10.8542	10.2776	9.49251	8.63022	7.76556	6.93932	6.17187	5.4716	4.83996	4.27462	3.77124	3.32464	2.92938	2.58017	2.272	2.00027	1.76082	1.5499	1.36416	1.20062	1.05666
73	0.699	0.9746	0.25	22.5296	4.54676	10.1532	12.7323	13.5533	13.3841	12.6858	11.7323	10.6836	9.63095	8.62378	7.68694	6.83068	6.05691	5.36293	4.74366	4.19296	3.70438	3.27163	2.88875	2.55027	2.25119	1.98703	1.75376	1.54783	1.36604
74	0.795	0.9846	0.2444	21.3296	5.51548	12.3087	15.4327	16.4324	16.2383	15.4071	14.2684	13.0145	11.7541	10.5468	9.42202	8.39227	7.45996	6.62205	5.87267	5.20469	4.61061	4.08308	3.61513	3.20034	2.83285	2.50739	2.21921	1.96408	1.73825
75	0.891	0.9946	0.2388	20.1296	6.61329	14.7495	18.4904	19.694	19.4751	18.4981	17.1551	15.6737	14.1829	12.7529	11.4187	10.195	9.08498	8.08522	7.18908	6.38838	5.6745	5.03897	4.47374	3.97138	3.52511	3.1288	2.77692	2.46454	2.18726
76	0.987	1.0046	0.2332	21.0704	7.06565	15.7488	19.7406	21.0325	20.8141	19.792	18.3814	16.8229	15.2526	13.744	12.3343	11.0391	9.86184	8.79927	7.84463	6.98962	6.2254	5.5433	4.93506	4.39303	3.91022	3.48028	3.09749	2.75673	2.45342
77	0.917	1.0146	0.2276	22.2704	6.26959	13.9661	17.5042	18.6562	18.4768	17.5897	16.3602	14.9993	13.6261	12.3051	11.0686	9.93043	8.89385	7.95621	7.11185	6.35377	5.67449	5.06662	4.52314	4.03752	3.60377	3.21647	2.87069	2.56203	2.28652
78	0.821	1.0246	0.222	23.4704	5.37613	11.9688	14.9996	15.9928	15.8518	15.1085	14.0737	12.9261	11.7664	10.649	9.60138	8.6353	7.75362	6.95432	6.23285	5.58351	5.00019	4.47684	4.00768	3.58733	3.21087	2.87378	2.57201	2.30188	2.0601
79	0.725	1.0346	0.2164	24.6704	4.55844	10.1426	12.71	13.5571	13.4488	12.8338	11.9733	11.017	10.0491	9.11502	8.2378	7.4273	6.68606	6.01258	5.40325	4.85347	4.35832	3.91291	3.51255	3.15288	2.82988	2.53986	2.27951	2.04581	1.83605
